,course,url
157,"파이썬, 판다스, 데이터 분석, 및, 가공",https://www.inflearn.com/course/파이썬-판다스-데이터분석-가공
158,"일주일, 만, 소프트웨어, 요구사항, 이해",https://www.inflearn.com/course/소프트웨어요구사항-메디치
159,"DataScience, AI, 개념",https://www.inflearn.com/course/data-science-ai-공부-방법-개념
160,"패턴, Python, 프로그래밍, 편, GUI, 패턴",https://www.inflearn.com/course/패턴으로-배우는-파이썬-4
161,"퀘이사, 완벽, 마스터, Vue, 프론트 웹",https://www.inflearn.com/course/퀘이사-마스터-vue-웹
162,"아이폰, 앱 개발, 입문, 편",https://www.inflearn.com/course/아이폰-앱-개발
163,"예제, Java, 문제풀이",https://www.inflearn.com/course/자바-100제-1
164,"TIBCO, Spotfire, 사용자교육, 고급편, 통계, 및, 외, 기능",https://www.inflearn.com/course/spotfire-고급-4
165,"R, 통계",https://www.inflearn.com/course/r로-배우는-통계-1
166,"핵심, Cocos Creator, 2D, 게임 개발",https://www.inflearn.com/course/cocoscreator-2d게임개발-핵심강좌
167,"딥러닝, 기술, Vision Transformer, 개념, Pytorch, 구현",https://www.inflearn.com/course/딥러닝-비전트랜스포머
168,"실전, 인공지능, 딥러닝, 개념",https://www.inflearn.com/course/딥러닝-개념
169,"데이터, 기반, 전략, 실무, 마스터, 클래스",https://www.inflearn.com/course/데이터-전략수립-실무
170,"C++, 언리얼엔진, 게임, 포트폴리오, 시리즈",https://www.inflearn.com/course/언리얼-엔진-게임포폴3
171,"아파치, 카프카",https://www.inflearn.com/course/아파치-카프카-입문
172,"분, 요약, 초급, 자, 딥러닝",https://www.inflearn.com/course/30분-시즌3-초급-딥러닝
173,"RDBMS, Modeling, 기초",https://www.inflearn.com/course/관계형데이터베이스-rdbms
174,"해킹, OverTheWire, Bandit",https://www.inflearn.com/course/linux-3
175,"입문자, QGIS, 시작, 데이터 시각화",https://www.inflearn.com/course/qgis-데이터-시각화
176,"텐서플로, 파이썬, 딥러닝, 완전정복, GAN, BERT, RNN, CNN, 최신기법",https://www.inflearn.com/course/텐서플로-파이썬딥러닝-gan-bert-rnn-cnn
177,"에듀윌, 2022년, 컴퓨터활용능력, 1급, 실기",https://www.inflearn.com/course/에듀윌-컴퓨터활용능력-1급-실기-단기패스
178,"Svelte.js, 입문, 가이드",https://www.inflearn.com/course/스벨트-입문-가이드
179,"모의해킹, 이해, 번",https://www.inflearn.com/course/모의해킹-업무-second
180,"인공지능, 강화학습, 편",https://www.inflearn.com/course/인공지능-강화학습
181,"리액트, 네이티브, 기초",https://www.inflearn.com/course/따라하며-배우는-리액트-네이티브
182,"모의해킹, 파일, 업로드, 취약점, 공격, 기법, 실무, 분석",https://www.inflearn.com/course/파일-업로드-취약점-공격-1
183,"시작, 수, 네트워크, 네트워크, 만들기",https://www.inflearn.com/course/네트워크-3-구축
184,"유니티, 기초",https://www.inflearn.com/course/고박사-유니티-기초
185,"그림, 쿠버네티스",https://www.inflearn.com/course/그림으로-배우는-쿠버네티스
186,"핵심, 침해사고, 분석, 입문편",https://www.inflearn.com/course/침해사고-분석-입문
187,"TIBCO, Spotfire, 사용자교육, 고급편, 데이터 변환, 캔버스",https://www.inflearn.com/course/spotfire-고급-2
188,"iOS, 앱, 만들기",https://www.inflearn.com/course/ios-앱개발-스위프트-2
189,"TTA, 용어사전, 해설",https://www.inflearn.com/course/tta-용어사전
190,"iOS, AutoLayout, 활용, 실전, UI, 구성, 전략, 카카오톡, 고급, UI, 만들기",https://www.inflearn.com/course/autolayout-ui_ios
